idx,reconn_trigger,conf_trigger,rad_trigger,margin_trigger,tct_pass_rate,tct_fail_pnet,tct_burst_rate,tct_pnet_p05,tct_pnet_p50,tct_pnet_p95,tct_tail_burst_frac,corr_precursor_pburst,corr_pburst_burst
0,0.55,0.55,0.6,0.15,0.255,0.6146,0.3746,-28.220154387409202,-4.651270546990023,22.501756571693317,0.412,0.9052041392703574,0.11363122782015463
1,0.55,0.55,0.6,0.08,0.2672,0.6028,0.3648,-27.37121399922687,-3.901297733823906,21.946909174402485,0.364,0.9050582293729056,0.11881757262658965
2,0.55,0.55,0.6,0.04,0.2716,0.6018,0.3574,-28.416785795273345,-4.1186325908868175,22.178399962740563,0.38,0.9095409390159719,0.11450189220034583
3,0.55,0.55,0.6,0.02,0.2612,0.6046,0.3704,-28.013959373607687,-4.157393851502455,21.71605500204169,0.402,0.9054680888367324,0.12410783267742649
4,0.55,0.55,0.6,0.01,0.2536,0.6206,0.3708,-27.957849881436854,-4.447175118671918,21.907677534566375,0.402,0.906071806072075,0.11835631818182535
5,0.55,0.55,0.65,0.15,0.258,0.621,0.3524,-28.80777998176746,-4.68430365967596,22.63880961711211,0.384,0.9066485416055815,0.12062506051508624
6,0.55,0.55,0.65,0.08,0.263,0.6146,0.3704,-27.991457104872957,-4.439891411320046,21.89515597691365,0.434,0.9069499008505649,0.14021553105299295
7,0.55,0.55,0.65,0.04,0.2586,0.6144,0.3684,-27.8571032851579,-4.6534452802736,21.85260056660832,0.402,0.9054931840562284,0.11364698808269419
8,0.55,0.55,0.65,0.02,0.2648,0.6014,0.3712,-28.209884770423503,-3.7856150512518383,22.38667701515551,0.384,0.9075290239904796,0.12484033202919055
9,0.55,0.55,0.65,0.01,0.252,0.6164,0.3784,-28.1227439207322,-4.131371300616729,22.09796249346407,0.422,0.9093103311576863,0.1256436760547623
10,0.55,0.55,0.7,0.15,0.2556,0.6222,0.3814,-28.057235948861543,-4.507979155399823,22.452823495330016,0.432,0.9076491567583473,0.12608857389439942
11,0.55,0.55,0.7,0.08,0.255,0.6116,0.371,-27.895525477802916,-4.203329941792792,21.511510136258835,0.382,0.9042188020062865,0.12602831893914768
12,0.55,0.55,0.7,0.04,0.2578,0.6166,0.3722,-28.714014169450625,-4.627556021306108,22.452463206432522,0.436,0.9079533141749934,0.12085256994125489
13,0.55,0.55,0.7,0.02,0.2624,0.6094,0.3712,-28.015650715102492,-4.155477841026036,22.291930110104648,0.386,0.9042716114013761,0.11270534337412008
14,0.55,0.55,0.7,0.01,0.2716,0.6028,0.3682,-27.51792079741858,-3.880120129900535,22.790366480828194,0.366,0.906976084130441,0.14110413261037738
15,0.55,0.55,0.75,0.15,0.2594,0.612,0.3706,-27.49440205159525,-4.232107765025741,21.992371642215232,0.4,0.9062119433582613,0.11299619033227642
16,0.55,0.55,0.75,0.08,0.2562,0.614,0.3726,-28.78112408069913,-4.329065033540006,22.075508648118618,0.368,0.9070975268835008,0.11158343130252754
17,0.55,0.55,0.75,0.04,0.2676,0.6066,0.3744,-28.027471129354314,-4.115677132878843,23.82430660102001,0.412,0.913710893104168,0.12202749189874577
18,0.55,0.55,0.75,0.02,0.2586,0.6182,0.371,-28.307530672599604,-4.659268823417229,22.6447346551574,0.4,0.9064583734535967,0.12348808422106484
19,0.55,0.55,0.75,0.01,0.2642,0.6118,0.366,-28.164571093028247,-4.2136082835151765,22.822011418702573,0.396,0.908449802144556,0.12929201944950086
20,0.55,0.55,0.8,0.15,0.2574,0.6172,0.3664,-28.421696155481875,-4.283572044500399,22.572649704712834,0.346,0.9093332149832654,0.11521738932792662
21,0.55,0.55,0.8,0.08,0.2612,0.6056,0.3718,-27.887524540365504,-3.9749551241487344,22.014149724246582,0.35,0.9035126907184091,0.12626008462866986
22,0.55,0.55,0.8,0.04,0.2638,0.6078,0.3656,-28.052565909706342,-4.122186573470692,22.680051163328038,0.426,0.9089767309517168,0.11924521572690655
23,0.55,0.55,0.8,0.02,0.2712,0.6002,0.3664,-28.02065772680684,-3.8133760634118925,22.879367929055423,0.392,0.9098429731292309,0.11808915178526236
24,0.55,0.55,0.8,0.01,0.268,0.6038,0.3644,-28.039297212241415,-4.310730516785469,22.39150486856838,0.404,0.9076934678614959,0.12351388676938518
25,0.55,0.6,0.6,0.15,0.2658,0.6078,0.3654,-27.991965014301982,-4.038549394644274,22.6281234406936,0.408,0.9107357834074269,0.1262028359751192
26,0.55,0.6,0.6,0.08,0.267,0.6086,0.3728,-27.57798323749645,-4.128958616715141,21.88029352251076,0.412,0.9035909089452162,0.13440494618167106
27,0.55,0.6,0.6,0.04,0.2566,0.6094,0.374,-28.280121916448905,-4.235949321937921,21.9732873709898,0.39,0.9061175302822936,0.10924126594079414
28,0.55,0.6,0.6,0.02,0.2628,0.6018,0.3748,-28.521952761572738,-4.192737744821974,22.685291620078978,0.398,0.9072668438532399,0.12706139986248383
29,0.55,0.6,0.6,0.01,0.2632,0.614,0.3572,-27.325918123774077,-4.298267274861142,21.768254082512307,0.358,0.9087682631051289,0.11400555156328505
30,0.55,0.6,0.65,0.15,0.2642,0.613,0.355,-28.61086049254062,-4.320909848237235,22.41447529331746,0.404,0.903652704496473,0.10613566427905603
31,0.55,0.6,0.65,0.08,0.279,0.5968,0.3554,-28.133577683776892,-4.086119566157265,22.35691006401519,0.406,0.9060517595695778,0.11185159842298965
32,0.55,0.6,0.65,0.04,0.2636,0.61,0.3724,-27.20805610750869,-4.324530330510946,22.046434256209128,0.418,0.9056270949175412,0.13951153163637275
33,0.55,0.6,0.65,0.02,0.2664,0.6066,0.3728,-28.133045919248637,-4.3380346530268445,22.397539537173454,0.414,0.9090279332025144,0.12848509750824985
34,0.55,0.6,0.65,0.01,0.2562,0.6208,0.3658,-27.579024000453103,-4.589102863697383,21.956632089359164,0.4,0.9049301041667785,0.1117666480779322
35,0.55,0.6,0.7,0.15,0.2646,0.6086,0.3784,-28.40766631659509,-4.547949062875734,22.324136771223312,0.402,0.909226218030525,0.1385174297094241
36,0.55,0.6,0.7,0.08,0.2582,0.6128,0.3708,-27.437126540501207,-4.181261047409475,22.202695256706853,0.374,0.9076265769265089,0.12682592942313878
37,0.55,0.6,0.7,0.04,0.267,0.6074,0.3656,-28.518603233746035,-4.356441097450844,23.32410642300474,0.372,0.9086259004332585,0.1557016606128864
38,0.55,0.6,0.7,0.02,0.2564,0.617,0.3616,-28.14413905213756,-4.245542999414019,22.255121194438566,0.372,0.9035146683152204,0.1201310609114708
39,0.55,0.6,0.7,0.01,0.2566,0.6196,0.372,-28.48134300784098,-4.567291480040045,23.233245707780732,0.408,0.9075870938739165,0.13298967679182205
40,0.55,0.6,0.75,0.15,0.2538,0.6136,0.3746,-27.85115190887294,-3.9538250148761604,21.54545424769879,0.426,0.9023468331253128,0.11896524988086496
41,0.55,0.6,0.75,0.08,0.25,0.6148,0.3798,-27.89947319114692,-4.455932446423288,22.659865824866653,0.386,0.907607653981768,0.1044308038480827
42,0.55,0.6,0.75,0.04,0.2582,0.6152,0.364,-27.996218087688327,-4.523445349939884,22.979566525780925,0.416,0.9083209311702618,0.12381848784724656
43,0.55,0.6,0.75,0.02,0.2572,0.6108,0.3676,-29.001380246439126,-4.538848002012379,22.798975454154135,0.422,0.9091556817445164,0.12721225740076106
44,0.55,0.6,0.75,0.01,0.269,0.601,0.3698,-27.542623529760785,-4.045007579054074,22.03677855216419,0.376,0.905525114496389,0.12685348956098502
45,0.55,0.6,0.8,0.15,0.2614,0.6124,0.3704,-27.76682236450238,-4.119398978269487,22.888861789821426,0.382,0.9105208251400364,0.12014466089567716
46,0.55,0.6,0.8,0.08,0.2812,0.5954,0.36,-27.920225727285562,-3.6786336834035858,22.772725469732492,0.41,0.9050353845020733,0.1311853579750701
47,0.55,0.6,0.8,0.04,0.2564,0.613,0.374,-26.968472277929457,-4.418097091152758,22.470154104415986,0.42,0.9100932437342906,0.1223959257884763
48,0.55,0.6,0.8,0.02,0.2558,0.6124,0.3654,-28.106306425748645,-4.5544582522562,22.614567661037817,0.344,0.9057658462785722,0.11360355288724751
49,0.55,0.6,0.8,0.01,0.256,0.6178,0.3732,-28.116376486509843,-4.5886972911043316,21.698449282555742,0.374,0.9032608748318455,0.1194240870950321
50,0.55,0.65,0.6,0.15,0.2676,0.606,0.3666,-28.501668456457303,-4.196436409109701,21.807468628589493,0.42,0.9069769870157484,0.1321652684183607
51,0.55,0.65,0.6,0.08,0.2678,0.6154,0.3554,-28.58549409800622,-4.378938389432515,22.640210440589048,0.394,0.9114146807400256,0.1540551032615558
52,0.55,0.65,0.6,0.04,0.261,0.6176,0.3642,-28.326697427443758,-4.6490622890796365,21.187585626857626,0.386,0.9036298000261327,0.12502963209281764
53,0.55,0.65,0.6,0.02,0.2584,0.6172,0.363,-28.469832508895596,-4.576092525047022,22.73486171080766,0.382,0.9078444977794526,0.1163231343447121
54,0.55,0.65,0.6,0.01,0.2628,0.6134,0.3688,-28.77509997736196,-4.5341828159481485,21.94562324419049,0.396,0.9072417760634024,0.11718780012222547
55,0.55,0.65,0.65,0.15,0.263,0.61,0.3572,-27.919226111331646,-4.316245608916807,22.72244728033402,0.372,0.9069642595580405,0.134995747321553
56,0.55,0.65,0.65,0.08,0.2626,0.6064,0.3692,-27.87789092426144,-4.276777355881817,21.36680357572561,0.434,0.9069989861592467,0.10867333689976275
57,0.55,0.65,0.65,0.04,0.2656,0.6114,0.3616,-27.85175764419916,-4.298268421349704,22.678288456263253,0.4,0.9072735168969532,0.1271718379624485
58,0.55,0.65,0.65,0.02,0.261,0.6034,0.3822,-28.542456899839305,-4.16112101716858,21.965278283501792,0.448,0.9061824440143031,0.1121161131123815
59,0.55,0.65,0.65,0.01,0.2688,0.602,0.3628,-28.208980391707602,-4.176744789681615,22.706554644205074,0.374,0.9091103180854666,0.12319032634248915
60,0.55,0.65,0.7,0.15,0.2622,0.6192,0.3664,-27.226171644373995,-4.498504423886715,23.09607247019265,0.384,0.9089681083251722,0.1339596160368976
61,0.55,0.65,0.7,0.08,0.2702,0.5948,0.3666,-27.754700680402102,-3.9280260167947025,22.850864980865335,0.388,0.9089487065685139,0.1360923391402278
62,0.55,0.65,0.7,0.04,0.2682,0.6018,0.3632,-27.932983979377155,-3.9901819258112,22.00885515336264,0.4,0.9060814663980199,0.12266086703116526
63,0.55,0.65,0.7,0.02,0.2628,0.6046,0.381,-27.622806634048594,-4.185667432483283,21.935762081312923,0.42,0.9037149406059135,0.13602736254073086
64,0.55,0.65,0.7,0.01,0.2646,0.6064,0.3622,-27.464715526621866,-4.186893505548948,22.590361873794144,0.388,0.9075239462285373,0.11329590035176874
65,0.55,0.65,0.75,0.15,0.2604,0.6202,0.3674,-28.654702059706466,-4.76511620465599,22.71638254424455,0.37,0.9071804412302035,0.12264448305428895
66,0.55,0.65,0.75,0.08,0.2618,0.606,0.369,-28.740243558629196,-4.361767567123538,21.524349488752055,0.4,0.9053413564979564,0.13377227930598337
67,0.55,0.65,0.75,0.04,0.2662,0.6036,0.365,-27.028924661057598,-4.365588164343228,22.878321177427253,0.382,0.90669458711494,0.12179983486326316
68,0.55,0.65,0.75,0.02,0.2616,0.613,0.3694,-27.771488279602774,-4.184956782919264,22.65624392338821,0.396,0.9107993855121227,0.15342694745348417
69,0.55,0.65,0.75,0.01,0.2646,0.6066,0.3676,-28.93446386426371,-4.236572332953278,22.282968974428478,0.388,0.9068763255044989,0.11540965810227286
70,0.55,0.65,0.8,0.15,0.2662,0.6128,0.3572,-27.862038967985175,-4.289139228038765,22.71453908049285,0.418,0.9086855116560573,0.13129309931767527
71,0.55,0.65,0.8,0.08,0.2592,0.6188,0.3698,-27.856132955681137,-4.846578243105127,21.63083050558468,0.422,0.9082539323972764,0.11328616573612622
72,0.55,0.65,0.8,0.04,0.2794,0.6014,0.3628,-27.91240916195007,-4.023676288539931,22.851026844565933,0.398,0.9070425169022699,0.1512813391241413
73,0.55,0.65,0.8,0.02,0.259,0.621,0.3598,-28.456053268109965,-4.811756191636742,22.9652173063184,0.4,0.9092716037848945,0.12082207842762847
74,0.55,0.65,0.8,0.01,0.2632,0.6094,0.3676,-28.544163328184297,-4.321648127362602,22.60424948043148,0.41,0.9092242044249911,0.13587608536230011
75,0.55,0.7,0.6,0.15,0.2626,0.603,0.3692,-27.782487899921406,-4.133109841890277,21.87659491604076,0.388,0.9054841805071956,0.11682151102741145
76,0.55,0.7,0.6,0.08,0.2666,0.603,0.3674,-28.120446570068122,-4.3486346195196575,22.261134754029108,0.41,0.9044554932004888,0.1326278354361043
77,0.55,0.7,0.6,0.04,0.2656,0.6002,0.3806,-27.60886307327133,-3.902434015738298,22.791141426248725,0.434,0.9100693765360037,0.1390306995230139
78,0.55,0.7,0.6,0.02,0.2546,0.6092,0.3818,-27.717473243424386,-4.549974636880439,22.71470308578977,0.422,0.909800357738995,0.137864203921237
79,0.55,0.7,0.6,0.01,0.2696,0.6078,0.363,-28.029586919566523,-4.298792681861808,23.2114612649981,0.39,0.9102313300992617,0.1386721777352228
80,0.55,0.7,0.65,0.15,0.26,0.6132,0.371,-28.208898205419285,-4.235730500622747,22.33773901032455,0.422,0.9067044983517101,0.1357334370687756
