generation,run_name,l1,l1_li6,l1_pack,l2,l2_li6,l2_pack,l3,l3_li6,l3_pack,l4,l4_li6,l4_pack,total_thickness_cm,split,ok,message,front_flux,back_flux,attenuation_back_vs_front,h3_total,heat_frac_l1,score
0,gen00_000__Li2O__Li2O__W_Ti_B4C_60_30_10_wt__W_Ti_B4C_Cr_55_25_10_10_wt__15p0cm__20_20_20_40,Li2O,0.9,0.8,Li2O,0.9,0.7,W_Ti_B4C_60_30_10_wt,0,1,W_Ti_B4C_Cr_55_25_10_10_wt,0,1,15.0,20_20_20_40,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.6517e+00 seconds |    Reading cross sections          = 3.5819e+00 seconds |  Total time in simulation          = 6.0033e+02 seconds |    Time in transport only          = 5.8602e+02 seconds |    Time in active batches          = 6.0033e+02 seconds |    Time accumulating tallies       = 1.4271e+01 seconds |    Time writing statepoints        = 2.6011e-02 seconds |  Total time for finalization       = 2.2544e-02 seconds |  Total time elapsed                = 6.0402e+02 seconds |  Calculation Rate (active)         = 39978.3 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.01774 +/- 0.00012 |  | ,0.11463669062482798,0.025383749990591613,0.2214277981354602,0.08258942144822065,0.2427467163936301,0.015708441984274856
0,gen00_001__Li2TiO3__Pb__Li4SiO4__Be__20p0cm__20_20_20_40,Li2TiO3,0.6,0.8,Pb,0,1,Li4SiO4,0.3,0.8,Be,0,0.9,20.0,20_20_20_40,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.9235e+00 seconds |    Reading cross sections          = 1.0121e+00 seconds |  Total time in simulation          = 3.7900e+02 seconds |    Time in transport only          = 3.6503e+02 seconds |    Time in active batches          = 3.7900e+02 seconds |    Time accumulating tallies       = 1.3863e+01 seconds |    Time writing statepoints        = 5.2647e-02 seconds |  Total time for finalization       = 1.9877e-03 seconds |  Total time elapsed                = 3.8094e+02 seconds |  Calculation Rate (active)         = 63324.8 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.26896 +/- 0.00015 |  | ,0.15885707492897516,0.03649929114420486,0.22976182307601759,0.056934414643799884,0.4439236590537256,0.026783052216994646
0,gen00_002__W_Ti_B4C_Al2O3_55_25_10_10_wt__Be__Li4SiO4__W_Ti_B4C_Al2O3_55_25_10_10_wt__15p0cm__20_20_20_40,W_Ti_B4C_Al2O3_55_25_10_10_wt,0,1,Be,0,1.0,Li4SiO4,0.9,0.8,W_Ti_B4C_Al2O3_55_25_10_10_wt,0,1,15.0,20_20_20_40,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.9064e+00 seconds |    Reading cross sections          = 3.8470e+00 seconds |  Total time in simulation          = 6.0724e+02 seconds |    Time in transport only          = 5.9289e+02 seconds |    Time in active batches          = 6.0724e+02 seconds |    Time accumulating tallies       = 1.4305e+01 seconds |    Time writing statepoints        = 3.7220e-02 seconds |  Total time for finalization       = 1.6964e-02 seconds |  Total time elapsed                = 6.1118e+02 seconds |  Calculation Rate (active)         = 39523.1 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.17401 +/- 0.00012 |  | ,0.1497760659462431,0.021136087596791555,0.1411179247048565,0.04665190552988122,0.4711935139023634,0.020097203906740788
0,gen00_003__W_Ti_B4C_60_30_10_wt__Li4SiO4__W_Ti_B4C_Cr_55_25_10_10_wt__TiB2__10p0cm__20_20_20_40,W_Ti_B4C_60_30_10_wt,0,1,Li4SiO4,0.6,0.6,W_Ti_B4C_Cr_55_25_10_10_wt,0,1,TiB2,0,1.0,10.0,20_20_20_40,True,ch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 8.2559e+00 seconds |    Reading cross sections          = 8.1327e+00 seconds |  Total time in simulation          = 5.4782e+02 seconds |    Time in transport only          = 5.3348e+02 seconds |    Time in active batches          = 5.4782e+02 seconds |    Time accumulating tallies       = 1.4266e+01 seconds |    Time writing statepoints        = 5.5261e-02 seconds |  Total time for finalization       = 2.5996e-02 seconds |  Total time elapsed                = 5.5613e+02 seconds |  Calculation Rate (active)         = 43810 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.10574 +/- 0.00010 |  | ,0.09750455773277364,0.02916503418986534,0.2991145733904731,0.03103793417769417,0.3872639234616473,0.057571398876556594
0,gen00_004__B4C__W_Ti_B4C_60_30_10_wt__W_Ti_B4C_Cr_55_25_10_10_wt__TiB2__15p0cm__20_25_25_30,B4C,0,0.7,W_Ti_B4C_60_30_10_wt,0,1,W_Ti_B4C_Cr_55_25_10_10_wt,0,1,TiB2,0,1.0,15.0,20_25_25_30,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.6610e+00 seconds |    Reading cross sections          = 3.6230e+00 seconds |  Total time in simulation          = 6.3112e+02 seconds |    Time in transport only          = 6.1700e+02 seconds |    Time in active batches          = 6.3112e+02 seconds |    Time accumulating tallies       = 1.4053e+01 seconds |    Time writing statepoints        = 5.7793e-02 seconds |  Total time for finalization       = 1.9025e-03 seconds |  Total time elapsed                = 6.3480e+02 seconds |  Calculation Rate (active)         = 38027.9 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.06384 +/- 0.00011 |  | ,0.12548115369272167,0.018665870636482545,0.14875437535577288,0.019240492937168188,0.200797212756633,0.03684410209304786
0,gen00_005__SiC__Li__Li2TiO3__Li2O__15p0cm__20_25_25_30,SiC,0,0.7,Li,0.3,1,Li2TiO3,0.9,1.0,Li2O,0.3,0.6,15.0,20_25_25_30,True,ch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 6.1194e-01 seconds |    Reading cross sections          = 5.9980e-01 seconds |  Total time in simulation          = 3.0825e+02 seconds |    Time in transport only          = 2.9448e+02 seconds |    Time in active batches          = 3.0825e+02 seconds |    Time accumulating tallies       = 1.3696e+01 seconds |    Time writing statepoints        = 4.6861e-02 seconds |  Total time for finalization       = 1.9032e-03 seconds |  Total time elapsed                = 3.0886e+02 seconds |  Calculation Rate (active)         = 77860 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 0.91398 +/- 0.00008 |  | ,0.10622978123632607,0.04431383675737491,0.41715078616975876,0.08437985787945987,0.2844935914700504,0.02997473503674509
0,gen00_006__W__Li2TiO3__B4C__SiC__15p0cm__20_25_25_30,W,0,1,Li2TiO3,0.3,0.7,B4C,0,0.6,SiC,0,0.7,15.0,20_25_25_30,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.9346e+00 seconds |    Reading cross sections          = 1.1569e+00 seconds |  Total time in simulation          = 3.8182e+02 seconds |    Time in transport only          = 3.6765e+02 seconds |    Time in active batches          = 3.8182e+02 seconds |    Time accumulating tallies       = 1.4125e+01 seconds |    Time writing statepoints        = 2.3807e-02 seconds |  Total time for finalization       = 1.9526e-02 seconds |  Total time elapsed                = 3.8378e+02 seconds |  Calculation Rate (active)         = 62856.2 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.25755 +/- 0.00012 |  | ,0.16279052820095022,0.029803164841483636,0.1830767746185719,0.0285190646369142,0.4392656006219743,0.039305408255806036
0,gen00_007__TiB2__W_Ti_B4C_60_30_10_wt__W_Ti_B4C_Al2O3_55_25_10_10_wt__Li2O__20p0cm__15_20_25_40,TiB2,0,0.6,W_Ti_B4C_60_30_10_wt,0,1,W_Ti_B4C_Al2O3_55_25_10_10_wt,0,1,Li2O,0.6,0.9,20.0,15_20_25_40,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.6824e+00 seconds |    Reading cross sections          = 3.6364e+00 seconds |  Total time in simulation          = 6.2594e+02 seconds |    Time in transport only          = 6.1174e+02 seconds |    Time in active batches          = 6.2594e+02 seconds |    Time accumulating tallies       = 1.4132e+01 seconds |    Time writing statepoints        = 5.8262e-02 seconds |  Total time for finalization       = 2.5031e-02 seconds |  Total time elapsed                = 6.2967e+02 seconds |  Calculation Rate (active)         = 38342.2 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.07684 +/- 0.00012 |  | ,0.17232234482443437,0.010148346673251445,0.058891646835416464,0.04582967414066294,0.17784235584658276,0.006823285533599448
0,gen00_008__Li__W_Ti_B4C_60_30_10_wt__Li__Li2TiO3__20p0cm__15_20_25_40,Li,0.3,1,W_Ti_B4C_60_30_10_wt,0,1,Li,0.9,1,Li2TiO3,0.6,0.7,20.0,15_20_25_40,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 9.6308e+00 seconds |    Reading cross sections          = 9.5005e+00 seconds |  Total time in simulation          = 4.3746e+02 seconds |    Time in transport only          = 4.2357e+02 seconds |    Time in active batches          = 4.3746e+02 seconds |    Time accumulating tallies       = 1.3868e+01 seconds |    Time writing statepoints        = 2.3621e-02 seconds |  Total time for finalization       = 3.1022e-02 seconds |  Total time elapsed                = 4.4718e+02 seconds |  Calculation Rate (active)         = 54861.6 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.09196 +/- 0.00011 |  | ,0.15908732372929862,0.025053756116341086,0.15748430188549972,0.10351939601966222,0.10838368890753054,0.008042480785520164
0,gen00_009__Li__Li__W_Ti_B4C_60_30_10_wt__Li2TiO3__20p0cm__20_25_25_30,Li,0.9,1,Li,0.3,1,W_Ti_B4C_60_30_10_wt,0,1,Li2TiO3,0.3,0.9,20.0,20_25_25_30,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 8.9206e+00 seconds |    Reading cross sections          = 8.7874e+00 seconds |  Total time in simulation          = 4.8117e+02 seconds |    Time in transport only          = 4.6703e+02 seconds |    Time in active batches          = 4.8117e+02 seconds |    Time accumulating tallies       = 1.4094e+01 seconds |    Time writing statepoints        = 3.3323e-02 seconds |  Total time for finalization       = 3.5350e-02 seconds |  Total time elapsed                = 4.9018e+02 seconds |  Calculation Rate (active)         = 49878.2 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.08720 +/- 0.00010 |  | ,0.14087961555278303,0.028007148232882324,0.19880199220439349,0.11123289459386407,0.17472399769872338,0.010046100626196743
0,gen00_010__PbLi__W_Ti_B4C_60_30_10_wt__Li__Li__20p0cm__15_25_25_35,PbLi,0.3,1,W_Ti_B4C_60_30_10_wt,0,1,Li,0.6,1,Li,0.9,1,20.0,15_25_25_35,True, 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.1015e+01 seconds |    Reading cross sections          = 1.0859e+01 seconds |  Total time in simulation          = 4.8663e+02 seconds |    Time in transport only          = 4.7258e+02 seconds |    Time in active batches          = 4.8663e+02 seconds |    Time accumulating tallies       = 1.3979e+01 seconds |    Time writing statepoints        = 4.2808e-02 seconds |  Total time for finalization       = 1.9525e-03 seconds |  Total time elapsed                = 4.9770e+02 seconds |  Calculation Rate (active)         = 49319.1 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.26873 +/- 0.00013 |  | ,0.19716631614354307,0.02224420219017512,0.11281948471350788,0.05619506687589309,0.16065569925395304,0.010698948837264109
