loss_keV_per_encounter,phase_energy_recovery_fraction,all_species_collision_burden_multiplier,usable_incremental_fusion_fraction,fusion_gain_mode,net_rephase_MeV_per_proton_before_burden,required_ff_useful_coupling_efficiency,energetically_possible_eta_le_1,passes_eta_50pct,passes_eta_30pct
1.0,0.8,1.0,0.85,literature_25pct,0.09223131532271793,0.21659563872411525,True,True,True
1.0,0.8,2.0,0.85,literature_25pct,0.09223131532271793,0.4331912774482305,True,True,False
1.0,0.8,3.0,0.85,literature_25pct,0.09223131532271793,0.6497869161723457,True,False,False
1.0,1.0,1.0,0.85,literature_25pct,0.01980884219998603,0.046519002940364304,True,True,True
1.0,1.0,2.0,0.85,literature_25pct,0.01980884219998603,0.09303800588072861,True,True,True
1.0,1.0,3.0,0.85,literature_25pct,0.01980884219998603,0.1395570088210929,True,True,True
2.0,0.8,1.0,0.85,literature_25pct,0.13164447527188214,0.30915334023205654,True,True,False
2.0,0.8,2.0,0.85,literature_25pct,0.13164447527188214,0.6183066804641131,True,False,False
2.0,0.8,3.0,0.85,literature_25pct,0.13164447527188214,0.9274600206961696,True,False,False
2.0,1.0,1.0,0.85,literature_25pct,0.061854613606506174,0.1452591182859838,True,True,True
2.0,1.0,2.0,0.85,literature_25pct,0.061854613606506174,0.2905182365719676,True,True,True
2.0,1.0,3.0,0.85,literature_25pct,0.061854613606506174,0.4357773548579514,True,True,False
5.0,0.8,1.0,0.85,literature_25pct,0.22456252984943328,0.5273617145765743,True,False,False
5.0,0.8,2.0,0.85,literature_25pct,0.22456252984943328,1.0547234291531487,False,False,False
5.0,0.8,3.0,0.85,literature_25pct,0.22456252984943328,1.582085143729723,False,False,False
5.0,1.0,1.0,0.85,literature_25pct,0.1630648704502083,0.3829408660718552,True,True,False
5.0,1.0,2.0,0.85,literature_25pct,0.1630648704502083,0.7658817321437104,True,False,False
5.0,1.0,3.0,0.85,literature_25pct,0.1630648704502083,1.1488225982155655,False,False,False
10.0,0.8,1.0,0.85,literature_25pct,0.3692313012325532,0.8671012578273652,True,False,False
10.0,0.8,2.0,0.85,literature_25pct,0.3692313012325532,1.7342025156547305,False,False,False
10.0,0.8,3.0,0.85,literature_25pct,0.3692313012325532,2.601303773482096,False,False,False
10.0,1.0,1.0,0.85,literature_25pct,0.31946938574449496,0.7502405816941193,True,False,False
10.0,1.0,2.0,0.85,literature_25pct,0.31946938574449496,1.5004811633882387,False,False,False
10.0,1.0,3.0,0.85,literature_25pct,0.31946938574449496,2.250721745082358,False,False,False
20.0,0.8,1.0,0.85,literature_25pct,0.6589090647188609,1.5473793172581787,False,False,False
20.0,0.8,2.0,0.85,literature_25pct,0.6589090647188609,3.0947586345163574,False,False,False
20.0,0.8,3.0,0.85,literature_25pct,0.6589090647188609,4.6421379517745365,False,False,False
20.0,1.0,1.0,0.85,literature_25pct,0.6296433052376896,1.4786517289613947,False,False,False
20.0,1.0,2.0,0.85,literature_25pct,0.6296433052376896,2.9573034579227895,False,False,False
20.0,1.0,3.0,0.85,literature_25pct,0.6296433052376896,4.435955186884184,False,False,False
35.0,0.8,1.0,0.85,literature_25pct,1.1351201110514157,2.665711365185427,False,False,False
35.0,0.8,2.0,0.85,literature_25pct,1.1351201110514157,5.331422730370854,False,False,False
35.0,0.8,3.0,0.85,literature_25pct,1.1351201110514157,7.997134095556281,False,False,False
35.0,1.0,1.0,0.85,literature_25pct,1.1210368909546293,2.6326383894669037,False,False,False
35.0,1.0,2.0,0.85,literature_25pct,1.1210368909546293,5.265276778933807,False,False,False
35.0,1.0,3.0,0.85,literature_25pct,1.1210368909546293,7.8979151684007105,False,False,False
50.0,0.8,1.0,0.85,literature_25pct,1.5956080309351592,3.747119288112352,False,False,False
50.0,0.8,2.0,0.85,literature_25pct,1.5956080309351592,7.494238576224704,False,False,False
50.0,0.8,3.0,0.85,literature_25pct,1.5956080309351592,11.241357864337056,False,False,False
50.0,1.0,1.0,0.85,literature_25pct,1.5888510076545277,3.7312511226392564,False,False,False
50.0,1.0,2.0,0.85,literature_25pct,1.5888510076545277,7.462502245278513,False,False,False
50.0,1.0,3.0,0.85,literature_25pct,1.5888510076545277,11.19375336791777,False,False,False
