density_multiplier,fB,path_m,nB_m3,boron_column_m2,fusion_probability,loss_eV
1.0,0.5,0.1,1.3368052430557295e+19,1.3368052430557294e+18,1.2664247428517683e-10,0.019139190941386146
1.0,0.5,1.0,1.3368052430557295e+19,1.3368052430557295e+19,1.2664246318294659e-09,0.19139190941386144
1.0,0.5,10.0,1.3368052430557295e+19,1.3368052430557295e+20,1.2664246318294659e-08,1.9139190941386144
1.0,1.0,0.1,2.673610486111459e+19,2.673610486111459e+18,2.5328494857035366e-10,0.018028591804110098
1.0,1.0,1.0,2.673610486111459e+19,2.673610486111459e+19,2.5328492636589317e-09,0.18028591804110097
1.0,1.0,10.0,2.673610486111459e+19,2.673610486111459e+20,2.5328492414544712e-08,1.8028591804110097
1000.0,0.5,0.1,1.3368052430557294e+22,1.3368052430557295e+21,1.2664245585547462e-07,19.139190941386136
1000.0,0.5,1.0,1.3368052430557294e+22,1.3368052430557294e+22,1.2664238373538694e-06,191.39190941386136
1000.0,0.5,10.0,1.3368052430557294e+22,1.3368052430557295e+23,1.2664166201048488e-05,1913.9190941386137
1000.0,1.0,0.1,2.6736104861114588e+22,2.673610486111459e+21,2.532848957237377e-07,18.02859180411009
1000.0,1.0,1.0,2.6736104861114588e+22,2.6736104861114588e+22,2.532846070768535e-06,180.2859180411009
1000.0,1.0,10.0,2.6736104861114588e+22,2.673610486111459e+23,2.5328172021055195e-05,1802.859180411009
