target_lab_keV,mean_Ecm_keV,mean_sigma_barn,sigma_v_m3_s,sigma_path_m2
600.0,556.6306044078567,0.9419602343737106,1.018403973804698e-21,9.497391334400185e-29
610.0,565.8108514661143,0.9473474621509245,1.0306676892268945e-21,9.535347789629539e-29
618.0,573.3083570642514,0.9490908216249718,1.0376364802609722e-21,9.537878274599847e-29
620.0,574.8262502146499,0.9481612296254741,1.037709313363638e-21,9.524085911472716e-29
630.0,583.8022893347961,0.9475366729286653,1.043087907018827e-21,9.497260859731825e-29
638.0,591.4875538335709,0.9462437138289578,1.0469440450729252e-21,9.473516398977108e-29
640.0,593.6054200564804,0.9422202928851559,1.043817435704567e-21,9.431188087660389e-29
650.0,602.2760473684159,0.9362373321903853,1.0429641937689488e-21,9.352711336779183e-29
660.0,611.5389145525562,0.925517951511412,1.0367906825881784e-21,9.227614408732193e-29
700.0,648.6050048742592,0.8529535709075685,9.768861398243518e-22,8.448257325013775e-29
