coulomb_log,fB,Te_ideal_keV,Te_at_85pct_usable_keV
10.0,0.1,not_reached_500,not_reached_500
10.0,0.25,not_reached_500,not_reached_500
10.0,0.5,not_reached_500,not_reached_500
10.0,0.75,320.0,not_reached_500
10.0,1.0,78.0,98.0
15.0,0.1,not_reached_500,not_reached_500
15.0,0.25,not_reached_500,not_reached_500
15.0,0.5,not_reached_500,not_reached_500
15.0,0.75,not_reached_500,not_reached_500
15.0,1.0,166.0,not_reached_500
20.0,0.1,not_reached_500,not_reached_500
20.0,0.25,not_reached_500,not_reached_500
20.0,0.5,not_reached_500,not_reached_500
20.0,0.75,not_reached_500,not_reached_500
20.0,1.0,not_reached_500,not_reached_500
