fB_charge_fraction,alpha_to_fast_efficiency,mode,max_DT_alpha_assist_fraction,support_capacity_per_pB11_fusion,minimum_Maxwellian_equivalent_Te_keV
0.5,0.6,pB11_alpha_only,0.0,0.588,not_reached_500
0.5,0.6,pB11_plus_repo_DT_alpha_assist,0.85,1.1762214682799215,not_reached_500
0.5,0.75,pB11_alpha_only,0.0,0.735,not_reached_500
0.5,0.75,pB11_plus_repo_DT_alpha_assist,0.85,1.4702768353499018,not_reached_500
0.5,0.9,pB11_alpha_only,0.0,0.882,not_reached_500
0.5,0.9,pB11_plus_repo_DT_alpha_assist,0.85,1.7643322024198822,not_reached_500
0.75,0.6,pB11_alpha_only,0.0,0.588,not_reached_500
0.75,0.6,pB11_plus_repo_DT_alpha_assist,0.85,1.1762214682799215,not_reached_500
0.75,0.75,pB11_alpha_only,0.0,0.735,not_reached_500
0.75,0.75,pB11_plus_repo_DT_alpha_assist,0.85,1.4702768353499018,421.67000000000576
0.75,0.9,pB11_alpha_only,0.0,0.882,not_reached_500
0.75,0.9,pB11_plus_repo_DT_alpha_assist,0.85,1.7643322024198822,137.3700000000017
1.0,0.6,pB11_alpha_only,0.0,0.588,not_reached_500
1.0,0.6,pB11_plus_repo_DT_alpha_assist,0.85,1.1762214682799215,112.07000000000136
1.0,0.75,pB11_alpha_only,0.0,0.735,not_reached_500
1.0,0.75,pB11_plus_repo_DT_alpha_assist,0.85,1.4702768353499018,78.17000000000087
1.0,0.9,pB11_alpha_only,0.0,0.882,294.97000000000395
1.0,0.9,pB11_plus_repo_DT_alpha_assist,0.85,1.7643322024198822,62.17000000000065
