fB_charge_fraction,Te_keV,electron_tail_brems_suppression,minimum_fast_proton_density_fraction_of_ne_for_Pfusion_ge_Pbrems,Pbrems_over_Pfusion_at_fast_fraction_0p10,fusion_power_density_W_m3_at_fast_fraction_0p10,brems_power_density_W_m3
1.0,62.0,0.0,0.0720674478205209,0.7206744782052089,521734.66358759423,376000.8564425597
1.0,62.0,0.5,0.03603372391026045,0.36033723910260446,521734.66358759423,188000.42822127984
1.0,70.0,0.0,0.07657593663929028,0.7657593663929028,521734.66358759423,399523.20541405043
1.0,70.0,0.5,0.03828796831964514,0.3828796831964514,521734.66358759423,199761.60270702522
1.0,80.0,0.0,0.08186311970729536,0.8186311970729536,521734.66358759423,427108.272207167
1.0,80.0,0.5,0.04093155985364768,0.4093155985364768,521734.66358759423,213554.1361035835
1.0,100.0,0.0,0.09152575025785757,0.9152575025785756,521734.66358759423,477521.5652038548
1.0,100.0,0.5,0.045762875128928786,0.4576287512892878,521734.66358759423,238760.7826019274
1.0,112.0,0.0,0.09686174949635877,0.9686174949635877,521734.66358759423,505361.3228798857
1.0,112.0,0.5,0.048430874748179385,0.48430874748179387,521734.66358759423,252680.66143994284
1.0,150.0,0.0,0.11209569322857844,1.1209569322857844,521734.66358759423,584842.0879623054
1.0,150.0,0.5,0.05604784661428922,0.5604784661428922,521734.66358759423,292421.0439811527
