fB_charge_fraction,Te_keV,alpha_to_fast_efficiency,fast_loop_closed_with_repo_DT_assist,pB11_alpha_fraction_channeled,pB11_alpha_fraction_left_for_direct_conversion,direct_electric_per_pB11_fusion_before_plant_loads,unclosed_fast_support_deficit
0.75,50.0,0.6,False,1.0,0.0,0.0,2.036320772587871
0.75,50.0,0.75,False,1.0,0.0,0.0,1.7422654055178906
0.75,50.0,0.9,False,1.0,0.0,0.0,1.4482100384479102
0.75,60.0,0.6,False,1.0,0.0,0.0,1.5848507378099943
0.75,60.0,0.75,False,1.0,0.0,0.0,1.290795370740014
0.75,60.0,0.9,False,1.0,0.0,0.0,0.9967400036700337
0.75,62.0,0.6,False,1.0,0.0,0.0,1.5162730327914922
0.75,62.0,0.75,False,1.0,0.0,0.0,1.2222176657215118
0.75,62.0,0.9,False,1.0,0.0,0.0,0.9281622986515315
0.75,70.0,0.6,False,1.0,0.0,0.0,1.2906808239033998
0.75,70.0,0.75,False,1.0,0.0,0.0,0.9966254568334193
0.75,70.0,0.9,False,1.0,0.0,0.0,0.7025700897634392
0.75,80.0,0.6,False,1.0,0.0,0.0,1.0869801449899898
0.75,80.0,0.75,False,1.0,0.0,0.0,0.7929247779200094
0.75,80.0,0.9,False,1.0,0.0,0.0,0.4988694108500292
0.75,100.0,0.6,False,1.0,0.0,0.0,0.828622479768761
0.75,100.0,0.75,False,1.0,0.0,0.0,0.5345671126987804
0.75,100.0,0.9,False,1.0,0.0,0.0,0.2405117456288003
0.75,150.0,0.6,False,1.0,0.0,0.0,0.5401156232516665
0.75,150.0,0.75,False,1.0,0.0,0.0,0.24606025618168625
0.75,150.0,0.9,True,0.9455837745030679,0.05441622549693215,0.049061668908034026,0.0
1.0,50.0,0.6,False,1.0,0.0,0.0,0.9811635802180577
1.0,50.0,0.75,False,1.0,0.0,0.0,0.6871082131480771
1.0,50.0,0.9,False,1.0,0.0,0.0,0.393052846078097
1.0,60.0,0.6,False,1.0,0.0,0.0,0.6425610541346504
1.0,60.0,0.75,False,1.0,0.0,0.0,0.3485056870646702
1.0,60.0,0.9,False,1.0,0.0,0.0,0.054450319994689744
1.0,62.0,0.6,False,1.0,0.0,0.0,0.5911277753707737
1.0,62.0,0.75,False,1.0,0.0,0.0,0.2970724083007935
1.0,62.0,0.9,False,1.0,0.0,0.0,0.0030170412308130334
1.0,70.0,0.6,False,1.0,0.0,0.0,0.4219336187047046
1.0,70.0,0.75,False,1.0,0.0,0.0,0.1278782516347241
1.0,70.0,0.9,True,0.8115905720688704,0.18840942793112958,0.16986994022270643,0.0
1.0,80.0,0.6,False,1.0,0.0,0.0,0.2691581095196469
1.0,80.0,0.75,True,0.966126180203628,0.03387381979637205,0.030540635928409044,0.0
1.0,80.0,0.9,True,0.6383757090472633,0.36162429095273674,0.3260404607229875,0.0
1.0,100.0,0.6,False,1.0,0.0,0.0,0.07538986060372532
1.0,100.0,0.75,True,0.7024959095697211,0.2975040904302789,0.2682296879319395,0.0
1.0,100.0,0.9,True,0.4186838168523408,0.5813161831476592,0.5241146707259295,0.0
1.0,150.0,0.6,True,0.7602206092107222,0.2397793907892778,0.21618509873561284,0.0
1.0,150.0,0.75,True,0.4081011580216657,0.5918988419783343,0.5336559959276662,0.0
1.0,150.0,0.9,True,0.17335485722896138,0.8266451427710386,0.7453032607223685,0.0
