generation,front_size,best_score,net_electric,wall_load,raw_wall_load,bootstrap,TBR,capex_billion,R,B0,lithium_thickness,blanket_thickness,mutation_scale
0,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
1,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
2,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
3,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
4,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
5,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
6,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
7,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
8,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
9,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.25
10,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
11,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
12,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
13,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
14,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
15,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
16,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
17,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
18,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
19,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.2875
20,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
21,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
22,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
23,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
24,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
25,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
26,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
27,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
28,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
29,1,-1e+18,,,,,,,6.331157308331274,9.5,0.0017634825836719632,0.9033695817113857,0.33062499999999995
