campaign,run_name,front_material,back_material,thickness_cm,ok,message,front_flux,mid_flux,back_flux,attenuation_mid_vs_front,attenuation_back_vs_front,high_energy_survival,low_energy_build_ratio,spectrum_softening_factor,composite_score
single,single__W__0p5cm,W,,0.5,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.6221e-01 seconds |    Reading cross sections          = 3.5852e-01 seconds |  Total time in simulation          = 2.7034e+01 seconds |    Time in transport only          = 2.6752e+01 seconds |    Time in active batches          = 2.7034e+01 seconds |    Time accumulating tallies       = 2.7614e-01 seconds |    Time writing statepoints        = 2.9930e-03 seconds |  Total time for finalization       = 8.9307e-04 seconds |  Total time elapsed                = 2.7399e+01 seconds |  Calculation Rate (active)         = 887760 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.06401 +/- 0.00005 |  | ,0.003963740503455879,0.005102751234053939,0.0047446856534234605,1.2873575426052708,1.1970222695675201,1.2319772448043482,0.9768632887647861,0.8160777903628135,3.2738624904997837
single,single__W__1p0cm,W,,1.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.4845e-01 seconds |    Reading cross sections          = 3.4464e-01 seconds |  Total time in simulation          = 2.8249e+01 seconds |    Time in transport only          = 2.8031e+01 seconds |    Time in active batches          = 2.8249e+01 seconds |    Time accumulating tallies       = 2.1186e-01 seconds |    Time writing statepoints        = 2.9138e-03 seconds |  Total time for finalization       = 8.8506e-04 seconds |  Total time elapsed                = 2.8600e+01 seconds |  Calculation Rate (active)         = 849581 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.12402 +/- 0.00007 |  | ,0.0099977569829374,0.011597977705622962,0.01004785517540457,1.1600579735451229,1.005010943209829,0.9951623757206398,0.9667080519612987,0.9618880853843711,2.0846084399501636
single,single__W__2p0cm,W,,2.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.4801e-01 seconds |    Reading cross sections          = 3.4424e-01 seconds |  Total time in simulation          = 3.4422e+01 seconds |    Time in transport only          = 3.2964e+01 seconds |    Time in active batches          = 3.4422e+01 seconds |    Time accumulating tallies       = 3.9146e-01 seconds |    Time writing statepoints        = 1.0620e+00 seconds |  Total time for finalization       = 7.4788e-04 seconds |  Total time elapsed                = 3.4772e+01 seconds |  Calculation Rate (active)         = 697234 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.23113 +/- 0.00009 |  | ,0.024139893595895467,0.02770196504774704,0.021008089578770123,1.1475595340841618,0.8702643818754094,0.8089990126913593,0.944226072600366,1.0849876109696635,1.4509911372961197
single,single__W__5p0cm,W,,5.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.5409e-01 seconds |    Reading cross sections          = 3.5026e-01 seconds |  Total time in simulation          = 3.9265e+01 seconds |    Time in transport only          = 3.9072e+01 seconds |    Time in active batches          = 3.9265e+01 seconds |    Time accumulating tallies       = 1.8413e-01 seconds |    Time writing statepoints        = 5.2388e-03 seconds |  Total time for finalization       = 1.3885e-03 seconds |  Total time elapsed                = 3.9622e+01 seconds |  Calculation Rate (active)         = 611230 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.46196 +/- 0.00010 |  | ,0.07340432563246523,0.08679766795316218,0.04625899322781916,1.18245985104144,0.6301943765472011,0.4921473101260236,0.8409398105569608,1.334413383948786,0.704686310203812
single,single__W__10p0cm,W,,10.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.5196e-01 seconds |    Reading cross sections          = 3.4825e-01 seconds |  Total time in simulation          = 4.7012e+01 seconds |    Time in transport only          = 4.6576e+01 seconds |    Time in active batches          = 4.7012e+01 seconds |    Time accumulating tallies       = 4.2858e-01 seconds |    Time writing statepoints        = 3.0374e-03 seconds |  Total time for finalization       = 8.9228e-04 seconds |  Total time elapsed                = 4.7366e+01 seconds |  Calculation Rate (active)         = 510513 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.64845 +/- 0.00011 |  | ,0.15712677366301903,0.16296073826142868,0.049989679854364394,1.0371290293971251,0.31814870686248836,0.20149821707670035,0.5561105347619281,1.747957866143947,0.21868668087738577
single,single__Ti__0p5cm,Ti,,0.5,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3578e-01 seconds |    Reading cross sections          = 1.3217e-01 seconds |  Total time in simulation          = 2.4969e+01 seconds |    Time in transport only          = 2.4792e+01 seconds |    Time in active batches          = 2.4969e+01 seconds |    Time accumulating tallies       = 1.7012e-01 seconds |    Time writing statepoints        = 3.0723e-03 seconds |  Total time for finalization       = 8.7823e-04 seconds |  Total time elapsed                = 2.5106e+01 seconds |  Calculation Rate (active)         = 961205 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.00807 +/- 0.00003 |  | ,0.0034601568688031317,0.004479160658274789,0.004345987003216229,1.2944964139224506,1.2560086631908993,1.2636578557695246,0.9226537136105653,0.734591838933728,3.870413101067896
single,single__Ti__1p0cm,Ti,,1.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3303e-01 seconds |    Reading cross sections          = 1.2942e-01 seconds |  Total time in simulation          = 2.4340e+01 seconds |    Time in transport only          = 2.4292e+01 seconds |    Time in active batches          = 2.4340e+01 seconds |    Time accumulating tallies       = 4.2561e-02 seconds |    Time writing statepoints        = 2.8316e-03 seconds |  Total time for finalization       = 8.8913e-04 seconds |  Total time elapsed                = 2.4475e+01 seconds |  Calculation Rate (active)         = 986026 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.01583 +/- 0.00004 |  | ,0.008278509119351105,0.009358292501228632,0.008811215155521404,1.1304321063503477,1.064348064185264,1.0538499357324649,0.9300672405408408,0.8738374896652393,2.501622131205795
single,single__Ti__2p0cm,Ti,,2.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3184e-01 seconds |    Reading cross sections          = 1.2825e-01 seconds |  Total time in simulation          = 2.4700e+01 seconds |    Time in transport only          = 2.4667e+01 seconds |    Time in active batches          = 2.4700e+01 seconds |    Time accumulating tallies       = 2.6749e-02 seconds |    Time writing statepoints        = 2.7724e-03 seconds |  Total time for finalization       = 8.8551e-04 seconds |  Total time elapsed                = 2.4833e+01 seconds |  Calculation Rate (active)         = 971675 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.03059 +/- 0.00004 |  | ,0.018540078231337808,0.019817174799300587,0.017607781866426007,1.068883019371738,0.9497145398590624,0.9190270044915599,0.885903100236077,0.9328098739733041,1.9538041989036399
single,single__Ti__5p0cm,Ti,,5.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3192e-01 seconds |    Reading cross sections          = 1.2838e-01 seconds |  Total time in simulation          = 2.5790e+01 seconds |    Time in transport only          = 2.5744e+01 seconds |    Time in active batches          = 2.5790e+01 seconds |    Time accumulating tallies       = 4.0354e-02 seconds |    Time writing statepoints        = 2.8035e-03 seconds |  Total time for finalization       = 8.8420e-04 seconds |  Total time elapsed                = 2.5924e+01 seconds |  Calculation Rate (active)         = 930577 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.06837 +/- 0.00006 |  | ,0.05140154041909012,0.05271818113077124,0.039542416596811125,1.0256148103917937,0.7692846610123262,0.7054508055779124,0.8360084545592142,1.086734855026171,1.2072651749175813
single,single__Ti__10p0cm,Ti,,10.0,True,g batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3263e-01 seconds |    Reading cross sections          = 1.2901e-01 seconds |  Total time in simulation          = 2.5337e+01 seconds |    Time in transport only          = 2.5323e+01 seconds |    Time in active batches          = 2.5337e+01 seconds |    Time accumulating tallies       = 8.8817e-03 seconds |    Time writing statepoints        = 2.7056e-03 seconds |  Total time for finalization       = 8.8741e-04 seconds |  Total time elapsed                = 2.5471e+01 seconds |  Calculation Rate (active)         = 947242 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.11342 +/- 0.00010 |  | ,0.10731753267897985,0.09951931795796234,0.056880750186961926,0.9273351285074323,0.5300229027544824,0.45892649536631186,0.6562098730973662,1.2380783352733633,0.6245682796870382
single,single__B4C__0p5cm,B4C,,0.5,True,ch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Simulating batch 61 |  Simulating batch 62 |  Simulating batch 63 |  Simulating batch 64 |  Simulating batch 65 |  Simulating batch 66 |  Simulating batch 67 |  Simulating batch 68 |  Simulating batch 69 |  Simulating batch 70 |  Simulating batch 71 |  Simulating batch 72 |  Simulating batch 73 |  Simulating batch 74 |  Simulating batch 75 |  Simulating batch 76 |  Simulating batch 77 |  Simulating batch 78 |  Simulating batch 79 |  Simulating batch 80 |  Creating state point statepoint.80.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.4341e-01 seconds |    Reading cross sections          = 1.3947e-01 seconds |  Total time in simulation          = 2.3834e+01 seconds |    Time in transport only          = 2.3813e+01 seconds |    Time in active batches          = 2.3834e+01 seconds |    Time accumulating tallies       = 1.5490e-02 seconds |    Time writing statepoints        = 2.8135e-03 seconds |  Total time for finalization       = 8.9415e-04 seconds |  Total time elapsed                = 2.3978e+01 seconds |  Calculation Rate (active)         = 1.00698e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 0.99492 +/- 0.00002 |  | ,0.003465468759698964,0.004460178047529358,0.004292784802899814,1.2870345563053933,1.2387313522551324,1.235787422132551,1.1813296755873939,0.9536609156103216,2.9041139585770153
