tag,blanket_family,blanket_thickness,reflector_thickness,lithium_thickness,reflector_material,pack,split,blanket_model,TBR,blanket_attenuation,blanket_front_heating_frac,net_electric,net_electric_raw,wall_load,wall_temp,fail_rate,score,ranking_score
case_0141,Li2O_W_Be_Li2O,4.0,2.5,0.0014,Be12Ti,1.2,"(0.35, 0.3, 0.35, 0.0)",openmc,0.9500337707739349,1.0,0.005823584845369691,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.0166601226765,19257.292907175415
case_0011,Li2O_W_Be_Li2O,3.5,1.5,0.0014,Be,1.2,"(0.4, 0.15, 0.3, 0.15)",openmc,0.9500337707739346,1.0,0.005823584845369702,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122682,19257.292907175408
case_0069,Li2O_W_Be_Li2O,3.5,2.5,0.0014,Be12Ti,1.2,"(0.35, 0.3, 0.35, 0.0)",openmc,0.9500337707739346,1.0,0.005823584845369699,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122682,19257.292907175408
case_0132,Li2O_W_Be_Li2O,4.0,2.5,0.0014,Be,1.2,"(0.45, 0.1, 0.3, 0.15)",openmc,0.9500337707739346,1.0,0.005823584845369707,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122682,19257.292907175408
case_0010,Li2O_W_Be_Li2O,3.5,1.5,0.0014,Be,1.2,"(0.3, 0.35, 0.3, 0.05)",openmc,0.9500337707739344,1.0,0.005823584845369716,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122684,19257.292907175404
case_0094,Li2O_W_Be_Li2O,4.0,1.5,0.0014,Be12Ti,1.2,"(0.3, 0.35, 0.3, 0.05)",openmc,0.9500337707739344,1.0,0.005823584845369704,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122684,19257.292907175404
case_0071,Li2O_W_Be_Li2O,3.5,2.5,0.0014,Be12Ti,1.2,"(0.4, 0.15, 0.3, 0.15)",openmc,0.950033770773934,1.0,0.005823584845369701,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122689,19257.292907175397
case_0144,Li2O_W_Be_Li2O,4.0,2.5,0.0014,Be12Ti,1.2,"(0.45, 0.1, 0.3, 0.15)",openmc,0.950033770773934,1.0,0.005823584845369705,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122689,19257.292907175397
case_0012,Li2O_W_Be_Li2O,3.5,1.5,0.0014,Be,1.2,"(0.45, 0.1, 0.3, 0.15)",openmc,0.9500337707739337,1.0,0.005823584845369718,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122695,19257.29290717539
case_0058,Li2O_W_Be_Li2O,3.5,2.5,0.0014,Be,1.2,"(0.3, 0.35, 0.3, 0.05)",openmc,0.9500337707739335,1.0,0.005823584845369708,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122698,19257.292907175386
case_0118,Li2O_W_Be_Li2O,4.0,2.0,0.0014,Be12Ti,1.2,"(0.3, 0.35, 0.3, 0.05)",openmc,0.9500337707739335,1.0,0.005823584845369704,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122698,19257.292907175386
case_0129,Li2O_W_Be_Li2O,4.0,2.5,0.0014,Be,1.2,"(0.35, 0.3, 0.35, 0.0)",openmc,0.9500337707739335,1.0,0.005823584845369709,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122698,19257.292907175386
case_0034,Li2O_W_Be_Li2O,3.5,2.0,0.0014,Be,1.2,"(0.3, 0.35, 0.3, 0.05)",openmc,0.9500337707739333,1.0,0.005823584845369714,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122702,19257.292907175382
case_0084,Li2O_W_Be_Li2O,4.0,1.5,0.0014,Be,1.2,"(0.45, 0.1, 0.3, 0.15)",openmc,0.9500337707739333,1.0,0.005823584845369699,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122702,19257.292907175382
case_0009,Li2O_W_Be_Li2O,3.5,1.5,0.0014,Be,1.2,"(0.35, 0.3, 0.35, 0.0)",openmc,0.9500337707739331,1.0,0.005823584845369711,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122704,19257.29290717538
case_0022,Li2O_W_Be_Li2O,3.5,1.5,0.0014,Be12Ti,1.2,"(0.3, 0.35, 0.3, 0.05)",openmc,0.9500337707739331,1.0,0.005823584845369701,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4454.016660122704,19257.29290717538
case_0081,Li2O_W_Be_Li2O,4.0,1.5,0.0014,Be,1.2,"(0.35, 0.3, 0.35, 0.0)",openmc,0.9500337707739331,1.0,0.005823584845369704,2071.998501812564,2072.187072480849,3.635983690297054,99.6098537011,0.013000113385346174,-4658.016660122704,19257.29290717538
