run_name,material,thickness_cm,ok,message,front_flux,mid_flux,back_mesh_flux,attenuation_mid_vs_front,attenuation_back_vs_front
W__0p5cm,W,0.5,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.4032e-01 seconds |    Reading cross sections          = 3.3665e-01 seconds |  Total time in simulation          = 8.4198e+00 seconds |    Time in transport only          = 7.9220e+00 seconds |    Time in active batches          = 8.4198e+00 seconds |    Time accumulating tallies       = 7.7619e-03 seconds |    Time writing statepoints        = 4.8867e-01 seconds |  Total time for finalization       = 1.1028e-04 seconds |  Total time elapsed                = 8.7615e+00 seconds |  Calculation Rate (active)         = 1.42521e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.06401 +/- 0.00008 |  | ,0.004958629717526806,0.006123027397471632,0.005694106085038772,1.234822470375059,1.1483225022655645
W__1p0cm,W,1.0,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.3401e-01 seconds |    Reading cross sections          = 3.3041e-01 seconds |  Total time in simulation          = 1.1003e+01 seconds |    Time in transport only          = 8.9501e+00 seconds |    Time in active batches          = 1.1003e+01 seconds |    Time accumulating tallies       = 1.6616e-02 seconds |    Time writing statepoints        = 2.0345e+00 seconds |  Total time for finalization       = 1.1380e-04 seconds |  Total time elapsed                = 1.1338e+01 seconds |  Calculation Rate (active)         = 1.09063e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.12409 +/- 0.00009 |  | ,0.012209998782387464,0.013919221748535594,0.012056659339954978,1.1399855148727476,0.9874414858538993
W__2p0cm,W,2.0,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 3.3886e-01 seconds |    Reading cross sections          = 3.3522e-01 seconds |  Total time in simulation          = 9.5036e+00 seconds |    Time in transport only          = 9.4859e+00 seconds |    Time in active batches          = 9.5036e+00 seconds |    Time accumulating tallies       = 1.3711e-02 seconds |    Time writing statepoints        = 2.2606e-03 seconds |  Total time for finalization       = 1.3347e-04 seconds |  Total time elapsed                = 9.8439e+00 seconds |  Calculation Rate (active)         = 1.26267e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.23118 +/- 0.00015 |  | ,0.029210262380855823,0.03323210471775776,0.02526201315569381,1.1376859366911343,0.8648334898987533
W__5p0cm,W,5.0,True,ing batch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 8.4768e-01 seconds |    Reading cross sections          = 3.4068e-01 seconds |  Total time in simulation          = 1.2571e+01 seconds |    Time in transport only          = 1.2566e+01 seconds |    Time in active batches          = 1.2571e+01 seconds |    Time accumulating tallies       = 5.9132e-04 seconds |    Time writing statepoints        = 2.2501e-03 seconds |  Total time for finalization       = 1.3142e-04 seconds |  Total time elapsed                = 1.3420e+01 seconds |  Calculation Rate (active)         = 954559 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.46207 +/- 0.00014 |  | ,0.08855013545984267,0.10411116976193696,0.055711677782703244,1.1757313438458963,0.6291540661501122
W__10p0cm,W,10.0,True,ing batch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 5.5787e-01 seconds |    Reading cross sections          = 3.4017e-01 seconds |  Total time in simulation          = 1.5269e+01 seconds |    Time in transport only          = 1.5260e+01 seconds |    Time in active batches          = 1.5269e+01 seconds |    Time accumulating tallies       = 4.6492e-03 seconds |    Time writing statepoints        = 2.2893e-03 seconds |  Total time for finalization       = 1.3256e-04 seconds |  Total time elapsed                = 1.5828e+01 seconds |  Calculation Rate (active)         = 785908 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.64851 +/- 0.00014 |  | ,0.1896571449784976,0.19528459003481505,0.06042655376189091,1.0296716744151952,0.31860942422570887
Ti__0p5cm,Ti,0.5,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3078e-01 seconds |    Reading cross sections          = 1.2727e-01 seconds |  Total time in simulation          = 7.8773e+00 seconds |    Time in transport only          = 7.8649e+00 seconds |    Time in active batches          = 7.8773e+00 seconds |    Time accumulating tallies       = 8.6481e-03 seconds |    Time writing statepoints        = 2.1468e-03 seconds |  Total time for finalization       = 1.2634e-04 seconds |  Total time elapsed                = 8.0093e+00 seconds |  Calculation Rate (active)         = 1.52336e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.00811 +/- 0.00004 |  | ,0.0043524384605754685,0.005375678165390886,0.005215546843828627,1.2350957317567972,1.1983045575649658
Ti__1p0cm,Ti,1.0,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3640e-01 seconds |    Reading cross sections          = 1.3282e-01 seconds |  Total time in simulation          = 7.5583e+00 seconds |    Time in transport only          = 7.5449e+00 seconds |    Time in active batches          = 7.5583e+00 seconds |    Time accumulating tallies       = 9.7396e-03 seconds |    Time writing statepoints        = 2.1441e-03 seconds |  Total time for finalization       = 1.3076e-04 seconds |  Total time elapsed                = 7.6959e+00 seconds |  Calculation Rate (active)         = 1.58766e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.01588 +/- 0.00006 |  | ,0.010134986220900984,0.01123140930320116,0.010574121333734704,1.1081820002911367,1.0433286344216344
Ti__2p0cm,Ti,2.0,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3556e-01 seconds |    Reading cross sections          = 1.3200e-01 seconds |  Total time in simulation          = 8.3131e+00 seconds |    Time in transport only          = 7.9588e+00 seconds |    Time in active batches          = 8.3131e+00 seconds |    Time accumulating tallies       = 2.4366e-03 seconds |    Time writing statepoints        = 3.5020e-01 seconds |  Total time for finalization       = 1.0990e-04 seconds |  Total time elapsed                = 8.4498e+00 seconds |  Calculation Rate (active)         = 1.44351e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.03060 +/- 0.00008 |  | ,0.022459202485157696,0.0237755227554822,0.021144341499630483,1.05860939502168,0.9414555798944265
Ti__5p0cm,Ti,5.0,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3127e-01 seconds |    Reading cross sections          = 1.2769e-01 seconds |  Total time in simulation          = 8.3907e+00 seconds |    Time in transport only          = 8.3737e+00 seconds |    Time in active batches          = 8.3907e+00 seconds |    Time accumulating tallies       = 1.3155e-02 seconds |    Time writing statepoints        = 2.1349e-03 seconds |  Total time for finalization       = 1.3169e-04 seconds |  Total time elapsed                = 8.5232e+00 seconds |  Calculation Rate (active)         = 1.43015e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.06849 +/- 0.00011 |  | ,0.061929616796644674,0.06321344983160458,0.047545631590358864,1.020730517987469,0.7677365701532142
Ti__10p0cm,Ti,10.0,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.3521e-01 seconds |    Reading cross sections          = 1.3151e-01 seconds |  Total time in simulation          = 8.6985e+00 seconds |    Time in transport only          = 8.6789e+00 seconds |    Time in active batches          = 8.6985e+00 seconds |    Time accumulating tallies       = 1.5498e-02 seconds |    Time writing statepoints        = 2.1873e-03 seconds |  Total time for finalization       = 1.3156e-04 seconds |  Total time elapsed                = 8.8349e+00 seconds |  Calculation Rate (active)         = 1.37955e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 1.11356 +/- 0.00015 |  | ,0.1291488901140257,0.1194071610079456,0.068476591930843,0.9245697806812037,0.5302143275903103
B4C__0p5cm,B4C,0.5,True,atch 4 |  Simulating batch 5 |  Simulating batch 6 |  Simulating batch 7 |  Simulating batch 8 |  Simulating batch 9 |  Simulating batch 10 |  Simulating batch 11 |  Simulating batch 12 |  Simulating batch 13 |  Simulating batch 14 |  Simulating batch 15 |  Simulating batch 16 |  Simulating batch 17 |  Simulating batch 18 |  Simulating batch 19 |  Simulating batch 20 |  Simulating batch 21 |  Simulating batch 22 |  Simulating batch 23 |  Simulating batch 24 |  Simulating batch 25 |  Simulating batch 26 |  Simulating batch 27 |  Simulating batch 28 |  Simulating batch 29 |  Simulating batch 30 |  Simulating batch 31 |  Simulating batch 32 |  Simulating batch 33 |  Simulating batch 34 |  Simulating batch 35 |  Simulating batch 36 |  Simulating batch 37 |  Simulating batch 38 |  Simulating batch 39 |  Simulating batch 40 |  Simulating batch 41 |  Simulating batch 42 |  Simulating batch 43 |  Simulating batch 44 |  Simulating batch 45 |  Simulating batch 46 |  Simulating batch 47 |  Simulating batch 48 |  Simulating batch 49 |  Simulating batch 50 |  Simulating batch 51 |  Simulating batch 52 |  Simulating batch 53 |  Simulating batch 54 |  Simulating batch 55 |  Simulating batch 56 |  Simulating batch 57 |  Simulating batch 58 |  Simulating batch 59 |  Simulating batch 60 |  Creating state point statepoint.60.h5... |  |  =======================>     TIMING STATISTICS     <======================= |  |  Total time for initialization     = 1.4487e-01 seconds |    Reading cross sections          = 1.4101e-01 seconds |  Total time in simulation          = 7.4884e+00 seconds |    Time in transport only          = 7.4612e+00 seconds |    Time in active batches          = 7.4884e+00 seconds |    Time accumulating tallies       = 2.3689e-02 seconds |    Time writing statepoints        = 2.1731e-03 seconds |  Total time for finalization       = 1.3019e-04 seconds |  Total time elapsed                = 7.6339e+00 seconds |  Calculation Rate (active)         = 1.60247e+06 particles/second |  |  ============================>     RESULTS     <============================ |  |  Leakage Fraction            = 0.99493 +/- 0.00002 |  | ,0.004359460145355595,0.00535437663469745,0.00515165645575028,1.228220113539013,1.181718901877945
