trigger,p05,fail,engage,wall_damage
0.6,-126.3654332418643,0.0808,0.5816,0.04185
0.61,-137.11044773800077,0.0831,0.5752,0.04195
0.62,-146.14663313000133,0.08595,0.5679,0.04205
0.63,-150.65608378637518,0.0878,0.5617,0.04205
0.64,-157.72917389849187,0.0897,0.5547,0.0421
0.65,-167.49159022549853,0.09255,0.54695,0.0422
0.66,-174.09075493867647,0.09425,0.5403,0.0422
0.67,-181.74417872386638,0.09645,0.5336,0.04235
0.68,-190.4011495389806,0.09885,0.52735,0.04235
0.6900000000000001,-195.53846699607735,0.1009,0.52015,0.0425
0.7000000000000001,-208.671000242558,0.10355,0.51255,0.04255
